Year,GFED1,GFED2,GFED3,GFED4,GFED5,GFED6,GFED7,GFED8,GFED9,GFED10,GFED11,GFED12,GFED13,GFED14
2002,92210.44,163170.9,260780.4,124101.16,783626.1,94267.87,202991.2,1966933,2065194,476463.3,782406,648324.3,193777.2,196592.9
2003,105667.13,167198.1,314920.1,180414.92,745937.7,95712.49,228810,1927529,2005974,485412.7,807197.5,690353.6,170046.7,179478.1
2004,87403.8,154305.7,264490.1,151153.3,811627.1,86073.66,180739.9,1819371,2159269,416351,803502.1,709727.9,219521.7,232151.4
2005,95439.07,187830.8,282784.9,114794.67,803489.8,90495.56,189368.2,1866143,2065039,468877.2,853496.4,763130.7,169681.9,179806.5
2006,109514.31,205374.6,289345.3,112251.04,790979.6,92204.07,215088.2,1985307,2093103,469523.5,776267.2,653166.1,225217,233849.9
2007,105042.68,197739.1,278860.9,155363.5,890439.8,100211.79,225548.2,2024782,1969263,457683.5,807816.1,700200,193496.6,202724.9
2008,105962.19,201407.9,303031.6,127893.89,826065.8,90321.62,195635.2,1812229,2022354,477080.6,765182,637972,186974.4,200117.5
2009,106955.85,207530.4,268925.9,96081.92,839782.4,92822.73,210153.4,1756511,2078011,479339.9,766790,608660.9,161318.8,181461.2
2010,105673.4,195529,279536.3,155585.55,806339.3,85412,222346.8,1658228,1942805,451690.2,883775.4,771025.8,133066.8,153100.1
2011,108792.18,184485.8,271576.5,98913.49,796267.9,95882.23,179471.3,1671155,1964817,470284.4,690590.8,585807.8,229405,240012.9
2012,124411.38,194882.3,230182.6,94668.53,694335.3,100081.31,243709.8,1991666,1821852,494047.1,775998.3,620120.5,234774.5,249497.3
2013,105533.89,162497.2,294054,116919.72,614997.9,92706.86,216242.5,1702307,1876297,417013.8,738985.3,658900.7,179302,209270.7
2014,98114.1,173748.8,244849.4,128605.11,619712.9,92222.02,198316.5,1684017,1759924,454607.3,734138.2,610064.9,215633.8,238840
2015,101432.67,184138.1,220177,116758.87,739834.9,93884.93,227104.2,1768113,1805678,467748.8,683469.3,534520.7,219837.9,227805.6
2016,99494.6,209845.5,282843.4,157107.72,670549.2,91475.11,205935.1,1618034,1790401,453582.9,701409.7,608488.1,177772.8,212800.5
2017,110646.83,195547.1,264088.6,95450.57,760111.2,94201.29,187709.9,1559256,1671859,437808.7,705856,587837.6,195417.4,226105.3
2018,111525.12,188123.8,259032.9,122798.28,679272.1,108152.45,214631.9,1649871,1728691,451904,645737.6,512113.2,178704.1,194501.6
