Year,extent,group
2002,6664109,Observed
2003,6713144,Observed
2004,6902654,Observed
2005,6722216,Observed
2006,6121079,Observed
2007,6678435,Observed
2008,6664326,Observed
2009,6216389,Observed
2010,6380329,Observed
2011,6678269,Observed
2012,6770303,Observed
2013,5873690,Observed
2014,6034680,Observed
2015,6257139,Observed
2016,6579515,Observed
2017,6609570,Observed
2018,6006048,Observed
2002,6636858,Predicted_HDI_constant 
2003,6601455,Predicted_HDI_constant 
2004,6666394,Predicted_HDI_constant 
2005,6664955,Predicted_HDI_constant 
2006,6762327,Predicted_HDI_constant 
2007,6789181,Predicted_HDI_constant 
2008,6503986,Predicted_HDI_constant 
2009,6446045,Predicted_HDI_constant 
2010,6310770,Predicted_HDI_constant 
2011,6215551,Predicted_HDI_constant 
2012,6329537,Predicted_HDI_constant 
2013,5984839,Predicted_HDI_constant 
2014,5854675,Predicted_HDI_constant 
2015,6018583,Predicted_HDI_constant 
2016,5891843,Predicted_HDI_constant 
2017,5726417,Predicted_HDI_constant 
2018,5717922,Predicted_HDI_constant 
2002,6276010,Predicted_HDI_excluded 
2003,6342565,Predicted_HDI_excluded 
2004,6533598,Predicted_HDI_excluded 
2005,6524896,Predicted_HDI_excluded 
2006,6697496,Predicted_HDI_excluded 
2007,6801736,Predicted_HDI_excluded 
2008,6589043,Predicted_HDI_excluded 
2009,6579155,Predicted_HDI_excluded 
2010,6560098,Predicted_HDI_excluded 
2011,6566472,Predicted_HDI_excluded 
2012,6631926,Predicted_HDI_excluded 
2013,6297033,Predicted_HDI_excluded 
2014,6248241,Predicted_HDI_excluded 
2015,6447781,Predicted_HDI_excluded 
2016,6534070,Predicted_HDI_excluded 
2017,6370881,Predicted_HDI_excluded 
2018,6264591,Predicted_HDI_excluded 
2002,6401669,Predicted_HDI_included
2003,6424940,Predicted_HDI_included
2004,6558987,Predicted_HDI_included
2005,6638880,Predicted_HDI_included
2006,6742892,Predicted_HDI_included
2007,6855649,Predicted_HDI_included
2008,6640112,Predicted_HDI_included
2009,6637097,Predicted_HDI_included
2010,6566346,Predicted_HDI_included
2011,6541582,Predicted_HDI_included
2012,6716533,Predicted_HDI_included
2013,6439911,Predicted_HDI_included
2014,6356879,Predicted_HDI_included
2015,6594609,Predicted_HDI_included
2016,6543275,Predicted_HDI_included
2017,6351650,Predicted_HDI_included
2018,6387205,Predicted_HDI_included
